quantity_id,Quantity,Value,Difficulty,Category
0,number of US states,50.0,1.0,geography
1,length of American football field in yards,100.0,1.0,stadiums
2,number of Olympic rings,5.0,1.0,olympic rings
3,number of continents,7.0,1.0,geography
4,number of hours in a week,168.0,1.0,time calculation
5,number of planets in the solar system,8.0,1.0,solar system
6,number of players (both teams) on the court in basketball,10.0,1.0,basketball
7,number of letters in the English alphabet,26.0,1.0,english alphabet
8,drinking age in the US,21.0,1.0,us laws
9,number of seconds in a minute,60.0,1.0,time
10,number of degrees in a right angle,90.0,1.0,geometry
11,number of legs on a spider,8.0,1.0,zoology
12,number of oceans on Earth,5.0,2.0,geography
13,boiling point of water in degrees Fahrenheit,212.0,2.0,chemistry
14,average weight of US adult male in pounds,196.0,2.0,us demographics
15,number of days in a fortnight,14.0,2.0,time
16,percent of Earth's surface covered in water,71.0,2.0,geography
17,total World Cup goals scored by Lionel Messi,10.0,2.0,football
18,length of marathon in miles,26.22,3.0,track and field
19,height of Eiffel tower in feet,984.0,3.0,building
20,weight of $100 worth of quarters in pounds ,5.0,3.0,weight
21,age of oldest known living animal,184.0,3.0,zoology
22,hottest temperature recorded on Earth in degrees Celsius,54.0,3.0,temperature
23,number of calories in a glass of whole milk,148.0,3.0,chemistry
24,world land speed record in miles per hour,763.0,3.0,motorsport
25,number of Wimbledons won by Roger Federer,8.0,3.0,tennis
26,maximum points scored in an NBA game by one player,100.0,3.0,basketball
27,number of books in the New Testament,27.0,3.0,literature
28,number of cookies in a standard sized Oreo package,45.0,3.0,food
29,half the capacity of the largest US college football stadium,54950.0,3.0,stadiums
30,diameter of red blood cell in microns,7.0,4.0,biology
31,distance to Proxima Centauri (closest star) in light-years,4.0,4.0,astronomy
32,time for light to travel from Sun to Earth in seconds,500.0,4.0,astronomy
33,number of entries in the Oxford English Dictionary,171000.0,4.0,languages
34,temperature of Sun's surface in degrees Kelvin,5778.0,4.0,temperature
35,number of ants in largest known colony,306000000.0,5.0,zoology
36,surface area of the moon in square miles,14600000.0,5.0,astronomy
37,mass of a cubic meter of air in grams,1293.0,5.0,chemistry
38,total career minutes played by Michael Jordan,48485.0,5.0,basketball
39,biggest margin of victory ever in a Triple Crown Race in seconds,31.0,4.0,track and field
40,height in inches of shortest Major League Baseball player ,66.0,4.0,height
41,repulsion of two protons in the nucleus in pounds,13.0,5.0,chemistry
42,distance from New York City to London in miles,3459.0,3.0,economics
43,duration of Hundred Years' War in years,116.0,2.0,history
44,GDP of Afghanistan in USD,20000000000.0,5.0,gdp
45,GDP of Nepal in USD,22000000000.0,5.0,gdp
46,GDP of Estonia in USD,24000000000.0,5.0,gdp
47,GDP of Costa Rica in USD,58000000000.0,5.0,gdp
48,GDP of Luxembourg in USD,60000000000.0,5.0,gdp
49,GDP of Greece in USD,195000000000.0,5.0,gdp
50,GDP of Israel in USD,319000000000.0,5.0,gdp
51,GDP of United Arab Emirates in USD,349000000000.0,5.0,gdp
52,GDP of Norway in USD,371000000000.0,5.0,gdp
53,GDP of Austria in USD,387000000000.0,5.0,gdp
54,GDP of Belgium in USD,467000000000.0,5.0,gdp
55,GDP of Poland in USD,470000000000.0,5.0,gdp
56,GDP of Sweden in USD,512000000000.0,5.0,gdp
57,GDP of Argentina in USD,546000000000.0,5.0,gdp
58,GDP of Saudi Arabia in USD,647000000000.0,5.0,gdp
59,GDP of Switzerland in USD,660000000000.0,5.0,gdp
60,GDP of Netherlands in USD,771000000000.0,5.0,gdp
61,GDP of Turkey in USD,858000000000.0,5.0,gdp
62,GDP of Mexico in USD,1000000000000.0,5.0,rich country gdp
63,GDP of Australia in USD,1205000000000.0,5.0,rich country gdp
64,GDP of Spain in USD,1233000000000.0,5.0,rich country gdp
65,GDP of Russian Federation in USD,1284000000000.0,5.0,rich country gdp
66,GDP of South Korea in USD,1412000000000.0,5.0,rich country gdp
67,GDP of Sub-Saharan Africa in USD,1499000000000.0,5.0,rich country gdp
68,GDP of Canada in USD,1530000000000.0,5.0,rich country gdp
69,GDP of Brazil in USD,1797000000000.0,5.0,rich country gdp
70,GDP of Italy in USD,1850000000000.0,5.0,rich country gdp
71,GDP of France in USD,2466000000000.0,5.0,rich country gdp
72,GDP of United Kingdom in USD,2619000000000.0,5.0,rich country gdp
73,GDP of Germany in USD,3467000000000.0,5.0,rich country gdp
74,GDP of Japan in USD,5000000000000.0,5.0,rich country gdp
75,GDP of China in USD,11000000000000.0,5.0,rich country gdp
76,GDP of European Union of USD,16000000000000.0,5.0,rich country gdp
77,GDP of United States in USD,19000000000000.0,5.0,rich country gdp
78,length of Genghis Khan's life in years,65.0,3.0,history
79,number of countries that border Turkey,8.0,4.0,geography
80,number of days in non-leap year,365.0,1.0,time
81,number of US colonies,13.0,2.0,geography
82,population of Hong Kong,7347000.0,3.0,population
83,population of New Zealand,4000000.0,3.0,population
84,population of Qatar,2570000.0,3.0,population
85,salary of US president in USD per year,400000.0,2.0,salary
86,surface area of Lake Zurich in square miles,7.29,4.0,geography
87,US national debt in USD,20000000000000.0,2.0,national debt
88,weight of Blue whale in kg,136000.0,5.0,animal weight
89,weight of African elephant in kg,4800.0,4.0,animal weight
90,weight of Killer whale in kg,3988.0,4.0,animal weight
91,weight of Hippopotamus in kg,3750.0,3.0,animal weight
92,weight of White rhinoceros in kg,2175.0,3.0,animal weight
93,weight of Water buffalo in kg,725.0,3.0,animal weight
94,weight of Polar bear in kg,475.0,3.0,animal weight
95,weight of Southern sea lion in kg,208.0,3.0,animal weight
96,weight of Wild boar in kg,180.0,3.0,animal weight
97,weight of Lion in kg,175.0,3.0,animal weight
98,weight of Gorilla in kg,140.0,3.0,animal weight
99,weight of Tiger in kg,120.0,3.0,animal weight
100,weight of Giant panda in kg,118.0,3.0,animal weight
101,weight of Striped dolphin in kg,113.0,3.0,animal weight
102,weight of Jaguar in kg,81.0,3.0,animal weight
103,longest hitting streak by Joe DiMaggio,56.0,3.0,baseball
104,most triple-doubles in one NBA regular season,42.0,2.0,basketball
105,most passing yards by one player in an NFL game,554.0,3.0,nfl
106,career high in points for Kobe Bryant,81.0,2.0,basketball
107,jersey number worn by Michael Jordan,23.0,1.0,basketball
108,number of games in longest set at Wimbledon,138.0,4.0,tennis
109,longest consecutive NFL regular season losing streak in games,26.0,2.0,nfl
110,world record women's marathon time in minutes,135.0,3.0,race
111,most consecutive women's Wimbledon titles,6.0,2.0,tennis
112,most consecutive NCAA football wins,47.0,3.0,nfl
113,longest play in NFL history in yards,109.0,2.0,nfl
114,most red cards in a soccer match,36.0,3.0,football
115,most wins in one regular season by an NBA team,73.0,2.0,basketball
116,most points in one NHL season,215.0,3.0,hockey
117,most rebounds by one player in an NBA game,55.0,3.0,basketball
118,minutes in a regulation NBA game,48.0,2.0,basketball
119,minutes in a regulation soccer match,90.0,2.0,football
120,minutes in a regulation NFL game,60.0,2.0,nfl
121,minutes in one half of an NCAA basketball game,20.0,2.0,basketball
122,minutes in a regulation NCAA basketball game,40.0,2.0,basketball
123,minutes in one quarter of an NCAA football game,15.0,2.0,nfl
124,minutes in a regulation NCAA football game,60.0,2.0,nfl
125,most consecutive wins in NBA season by one team,33.0,2.0,basketball
126,career three-point attempts by Michael Jordan,1778.0,5.0,basketball
127,career two-point attempts by Michael Jordan,22759.0,5.0,basketball
128,career free throws made by Michael Jordan,7327.0,4.0,basketball
129,career points scored by Michael Jordan,32292.0,4.0,basketball
130,career assists by Michael Jordan,5633.0,4.0,basketball
131,career rebounds by Michael Jordan,6672.0,4.0,basketball
132,career steals by Michael Jordan,2514.0,4.0,basketball
133,career blocks by Michael Jordan,893.0,4.0,basketball
134,career turnovers by Michael Jordan,2924.0,4.0,basketball
135,career personal fouls by Michael Jordan,2783.0,4.0,basketball
136,career points scored by Kobe Bryant,33643.0,4.0,basketball
137,career assists by Kobe Bryant,6306.0,4.0,basketball
138,career rebounds by Kobe Bryant,7047.0,4.0,basketball
139,career steals by Kobe Bryant,1944.0,4.0,basketball
140,career blocks by Kobe Bryant,640.0,4.0,basketball
141,career turnovers by Kobe Bryant,4010.0,4.0,basketball
142,career personal fouls by Kobe Bryant,3353.0,4.0,basketball
143,career points scored by Magic Johnson,17707.0,4.0,basketball
144,career assists by Magic Johnson,10141.0,4.0,basketball
145,career rebounds by Magic Johnson,6559.0,4.0,basketball
146,career steals by Magic Johnson,1724.0,4.0,basketball
147,career blocks by Magic Johnson,374.0,4.0,basketball
148,career turnovers by Magic Johnson,3506.0,4.0,basketball
149,career personal fouls by Magic Johnson,2050.0,4.0,basketball
150,career points scored by Kevin Garnett,26071.0,4.0,basketball
151,career assists by Kevin Garnett,5445.0,4.0,basketball
152,career rebounds by Kevin Garnett,14662.0,4.0,basketball
153,number of teams in the NBA,30.0,2.0,basketball
154,number of teams in the NFL,32.0,2.0,nfl
155,number of teams in the MLB,30.0,2.0,baseball
156,number of teams in the NHL,31.0,2.0,hockey
157,number of teams in La Liga,20.0,2.0,football
158,number of teams in the English Premier League,20.0,2.0,football
159,number of teams in Serie A,20.0,2.0,football
160,career passing yards by Peyton Manning,72000.0,3.0,nfl
161,career passing yards by Brett Favre,72000.0,3.0,nfl
162,career passing yards by Dan Marino,61000.0,3.0,nfl
163,career passing yards by John Elway,51000.0,3.0,nfl
164,career passing yards by Warren Moon,49000.0,3.0,nfl
165,career passing yards by Fran Tarkenton,47000.0,3.0,nfl
166,career passing yards by Vinny Testaverde,46000.0,3.0,nfl
167,career passing yards by Drew Bledsoe,45000.0,3.0,nfl
168,career passing yards by Dan Fouts,43000.0,3.0,nfl
169,career passing yards by Kerry Collins,41000.0,3.0,nfl
170,career passing yards by Joe Montana,41000.0,3.0,nfl
171,career passing yards by Johnny Unitas,40000.0,3.0,nfl
172,career passing yards by Boomer Esiason,38000.0,3.0,nfl
173,career passing yards by Donovan McNabb,37000.0,3.0,nfl
174,career passing yards by Matt Hasselbeck,37000.0,3.0,nfl
175,career passing yards by Jim Kelly,35000.0,3.0,nfl
176,career passing yards by Jim Everett,35000.0,3.0,nfl
177,career passing yards by Tony Romo,34000.0,3.0,nfl
178,career passing yards by Phil Simms,33000.0,3.0,nfl
179,career passing yards by Steve Young,33000.0,3.0,nfl
180,career passing yards by Troy Aikman,33000.0,3.0,nfl
181,career passing yards by Ken Anderson,33000.0,3.0,nfl
182,career passing yards by Jay Cutler,32000.0,3.0,nfl
183,career passing yards by Kurt Warner,32000.0,3.0,nfl
184,career passing yards by Mark Brunell,32000.0,3.0,nfl
185,career passing yards by Steve McNair,31000.0,3.0,nfl
186,career rushing touchdowns by Emmitt Smith,164.0,3.0,touchdowns
187,career rushing touchdowns by LaDainian Tomlinson,145.0,3.0,touchdowns
188,career rushing touchdowns by Marcus Allen,123.0,3.0,touchdowns
189,career rushing touchdowns by Walter Payton,110.0,3.0,touchdowns
190,career rushing touchdowns by Jim Brown,106.0,3.0,touchdowns
191,career rushing touchdowns by Marshall Faulk,100.0,3.0,touchdowns
192,career rushing touchdowns by Barry Sanders,99.0,3.0,touchdowns
193,career rushing touchdowns by Jerome Bettis,91.0,3.0,touchdowns
194,career receiving touchdowns by Jerry Rice,197.0,3.0,touchdowns
195,career receiving touchdowns by Randy Moss,156.0,3.0,touchdowns
196,career receiving touchdowns by Terrell Owens,153.0,3.0,touchdowns
197,career receiving touchdowns by Cris Carter,130.0,3.0,touchdowns
198,career receiving touchdowns by Marvin Harrison,128.0,3.0,touchdowns
199,career receiving touchdowns by Tony Gonzalez,111.0,3.0,touchdowns
200,career receiving touchdowns by Tim Brown,100.0,3.0,touchdowns
201,career points scored by Kareem Abdul-Jabbar,38387.0,4.0,basketball
202,career points scored by Karl Malone,36928.0,4.0,basketball
203,career points scored by Wilt Chamberlain,31419.0,4.0,basketball
204,career points scored by Moses Malone,27409.0,4.0,basketball
205,career points scored by Elvin Hayes,27313.0,4.0,basketball
206,career rebounds by Wilt Chamberlain,23924.0,4.0,basketball
207,career rebounds by Bill Russell,21620.0,4.0,basketball
208,career rebounds by Kareem Abdul-Jabbar,17440.0,4.0,basketball
209,career rebounds by Moses Malone,16212.0,4.0,basketball
210,career rebounds by Karl Malone,14968.0,4.0,basketball
211,career assists by Jason Kidd,12091.0,4.0,basketball
212,career assists by Steve Nash,10335.0,4.0,basketball
213,career assists by Oscar Robertson,9887.0,4.0,basketball
214,career assists by Isiah Thomas,9061.0,4.0,basketball
215,career assists by Gary Payton,8966.0,4.0,basketball
216,career assists by Bob Cousy,6955.0,4.0,basketball
217,career steals by Jason Kidd,2684.0,4.0,basketball
218,career steals by Gary Payton,2445.0,4.0,basketball
219,career steals by Scottie Pippen,2307.0,4.0,basketball
220,career steals by Clyde Drexler,2207.0,4.0,basketball
221,career steals by Hakeem Olajuwon,2162.0,4.0,basketball
222,atomic number of Hydrogen,1.0,2.0,chemistry
223,atomic number of Helium,2.0,2.0,chemistry
224,atomic number of Lithium,3.0,2.0,chemistry
225,atomic number of Carbon,6.0,2.0,chemistry
226,atomic number of Nitrogen,7.0,2.0,chemistry
227,atomic number of Oxygen,8.0,2.0,chemistry
228,atomic number of Fluorine,9.0,2.0,chemistry
229,atomic number of Sodium,11.0,3.0,chemistry
230,atomic number of Aluminum,13.0,3.0,chemistry
231,atomic number of Silicon,14.0,3.0,chemistry
232,atomic number of Sulfur,16.0,3.0,chemistry
233,atomic number of Potassium,19.0,3.0,chemistry
234,atomic number of Calcium,20.0,3.0,chemistry
235,atomic number of Titanium,22.0,3.0,chemistry
236,atomic number of Iron,26.0,3.0,chemistry
237,atomic number of Nickel,28.0,3.0,chemistry
238,atomic number of Zinc,30.0,3.0,chemistry
239,atomic number of Silver,47.0,3.0,chemistry
240,atomic number of Platinum,78.0,3.0,chemistry
241,atomic number of Gold,79.0,3.0,chemistry
242,atomic number of Lead,82.0,3.0,chemistry
243,atomic number of Uranium,92.0,3.0,chemistry
244,number of letters on a typical typed page of text,2500.0,3.0,typography
245,cost to build the Burj Khalifa in USD,1500000000.0,3.0,architecture
246,cost of a B-2 bomber in USD,2500000000.0,4.0,aerospace
247,net worth of Carlos Slim in USD,68000000000.0,3.0,wealth
248,cost of International Space Station in USD,100000000000.0,4.0,space engineering
249,total value of all world financial assets in USD,140000000000000.0,4.0,wealth
250,height of Mt Everest in feet,29029.0,4.0,mountain
251,height of K2 in feet,28251.0,4.0,mountain
252,height of Mt McKinley in feet,20310.0,3.0,mountain
253,height of Mt Logan in feet,19551.0,4.0,mountain
254,height of Mt Kilimanjaro in feet,19341.0,4.0,mountain
255,gestation time in days of American bison,217.0,3.0,gestation time
256,gestation time in days of Camel,390.0,3.0,gestation time
257,gestation time in days of Cat,64.0,3.0,gestation time
258,gestation time in days of Chimpanzee,240.0,3.0,gestation time
259,gestation time in days of Chipmunk,31.0,3.0,gestation time
260,gestation time in days of Cow,286.0,3.0,gestation time
261,gestation time in days of Deer,201.0,3.0,gestation time
262,gestation time in days of Dog,61.0,3.0,gestation time
263,gestation time in days of Asian Elephant,617.0,3.0,gestation time
264,gestation time in days of Fox,52.0,3.0,gestation time
265,gestation time in days of Giraffe,430.0,3.0,gestation time
266,gestation time in days of Goat,150.0,3.0,gestation time
267,gestation time in days of Gorilla,257.0,3.0,gestation time
268,gestation time in days of Guinea pig,65.0,3.0,gestation time
269,gestation time in days of Hamster,20.0,3.0,gestation time
270,gestation time in days of Hippopotamus,237.0,3.0,gestation time
271,gestation time in days of Horse,336.0,3.0,gestation time
272,gestation time in days of Leopard,93.0,3.0,gestation time
273,gestation time in days of Lion,108.0,3.0,gestation time
274,gestation time in days of Llama,330.0,3.0,gestation time
275,gestation time in days of Moose,245.0,3.0,gestation time
276,gestation time in days of Mouse,21.0,3.0,gestation time
277,gestation time in days of Otter,73.0,3.0,gestation time
278,gestation time in days of Pig,113.0,3.0,gestation time
279,gestation time in days of Porcupine,210.0,3.0,gestation time
280,gestation time in days of Rabbit,31.0,3.0,gestation time
281,gestation time in days of Rat,22.0,3.0,gestation time
282,gestation time in days of Squirrel,35.0,3.0,gestation time
283,gestation time in days of Tiger,109.0,3.0,gestation time
284,gestation time in days of Sperm Whale,535.0,3.0,gestation time
285,gestation time in days of Wolf,64.0,3.0,gestation time
286,gestation time in days of Wombat,27.0,3.0,gestation time
287,gestation time in days of Zebra,375.0,3.0,gestation time
288,Population of Beijing,21000000.0,2.0,population
289,Population of New Delhi,17000000.0,2.0,population
290,Population of Tokyo,13000000.0,2.0,population
291,Population of Manila,13000000.0,2.0,population
292,Population of Moscow,12000000.0,2.0,population
293,Population of Cairo,10000000.0,2.0,population
294,Population of Jakarta,10000000.0,2.0,population
295,Population of Seoul,10000000.0,2.0,population
296,Population of Dhaka,9000000.0,2.0,population
297,Population of Mexico City,9000000.0,2.0,population
298,Population of Tehran,9000000.0,2.0,population
299,Population of London,9000000.0,2.0,population
300,Population of Lima,8000000.0,2.0,population
301,Population of Bangkok,8000000.0,2.0,population
302,Population of Bogota,8000000.0,2.0,population
303,Population of Hanoi,8000000.0,2.0,population
304,Population of Hong Kong,7000000.0,2.0,population
305,Population of Baghdad,7000000.0,2.0,population
306,Population of Singapore,5000000.0,2.0,population
307,Population of Ankara,5000000.0,2.0,population
308,Population of Santiago,5000000.0,2.0,population
309,Population of Riyadh,5000000.0,2.0,population
310,Population of Berlin,4000000.0,2.0,population
311,Population of Damascus,4000000.0,2.0,population
312,Population of Algiers,3000000.0,2.0,population
313,Population of Madrid,3000000.0,2.0,population
314,Population of Pyongyang,3000000.0,2.0,population
315,Population of Nairobi,3000000.0,2.0,population
316,Population of Athens,3000000.0,2.0,population
317,Population of Buenos Aires,3000000.0,2.0,population
318,Population of Rome,3000000.0,2.0,population
319,Population of Taipei,3000000.0,2.0,population
320,Population of Vienna,2000000.0,2.0,population
321,Population of Budapest,2000000.0,2.0,population
322,Population of Warsaw,2000000.0,2.0,population
323,Population of Beirut,2000000.0,2.0,population
324,Population of Copenhagen,1000000.0,2.0,population
325,Population of San Salvador,1000000.0,2.0,population
326,Number of moons of Mercury,0.0,3.0,moons
327,Number of moons of Venus,0.0,3.0,moons
328,Number of moons of Earth,1.0,3.0,moons
329,Number of moons of Mars,0.0,3.0,moons
330,Number of moons of Jupiter,2.0,3.0,moons
331,Number of moons of Saturn,67.0,3.0,moons
332,Number of moons of Uranus,27.0,3.0,moons
333,Number of moons of Neptune,14.0,3.0,moons
334,Number of moons of Pluto,5.0,3.0,moons
335,mass of 1ml of water in g,1.0,3.0,chemistry
336,mass of 10ml of water in g,10.0,3.0,chemistry
337,mass of 333ml of water in g,333.0,3.0,chemistry
338,mass of 1000 ml of water in kg,1.0,3.0,chemistry
339,mass of 1000 ml of gasoline in g,680.0,3.0,chemistry
340,mass of 1000 ml of ethanol in g,790.0,3.0,chemistry
341,age at death of longest-lived Norway rat in years,4.0,2.0,zoology
342,age at death of longest-lived dog in years,29.0,2.0,zoology
343,age at death of longest-lived cat in years,38.0,2.0,zoology
344,age at death of longest-lived polar bear in years,42.0,2.0,zoology
345,age at death of longest-lived horse in years,62.0,2.0,zoology
346,age at death of longest-lived Asian elephant in years,86.0,2.0,zoology
347,driving distance in miles between London and Paris,300.0,3.0,geographical distance
348,driving distance in miles between London and Brussels,226.0,3.0,geographical distance
349,driving distance in miles between London and Amsterdam,331.0,3.0,geographical distance
350,driving distance in miles between London and Barcelona,930.0,3.0,geographical distance
351,driving distance in miles between London and Frankfurt,475.0,3.0,geographical distance
352,driving distance in miles between London and Berlin,680.0,3.0,geographical distance
353,driving distance in miles between London and Cologne,365.0,3.0,geographical distance
354,driving distance in miles between London and Vienna,914.0,3.0,geographical distance
355,driving distance in miles between London and Milan,815.0,3.0,geographical distance
356,driving distance in miles between London and Rome,1160.0,3.0,geographical distance
357,maximum speed of Peregrine falcon in miles per hour,242.0,2.0,animal speed
358,maximum speed of Golden eagle in miles per hour,200.0,2.0,animal speed
359,maximum speed of Cheetah in miles per hour,68.0,2.0,animal speed
360,maximum speed of Swordfish in miles per hour,60.0,2.0,animal speed
361,maximum speed of Lion in miles per hour,50.0,2.0,animal speed
362,maximum speed of Hare in miles per hour,50.0,2.0,animal speed
363,maximum speed of Greyhound in miles per hour,46.0,2.0,animal speed
364,maximum speed of Jackrabbit in miles per hour,45.0,2.0,animal speed
365,maximum speed of African wild dog in miles per hour,44.0,2.0,animal speed
366,maximum speed of Horse in miles per hour,44.0,2.0,animal speed
367,maximum speed of Common dolphin in miles per hour,40.0,2.0,animal speed
368,maximum speed of Zebra in miles per hour,40.0,2.0,animal speed
369,maximum speed of Tiger in miles per hour,40.0,2.0,animal speed
370,maximum speed of Hyena in miles per hour,40.0,2.0,animal speed
371,career home runs by Barry Bonds,762.0,3.0,baseball
372,career home runs by Hank Aaron,755.0,3.0,baseball
373,career home runs by Babe Ruth,714.0,3.0,baseball
374,career home runs by Alex Rodriguez,696.0,3.0,baseball
375,career home runs by Willie Mays,660.0,3.0,baseball
376,"career home runs by Ken Griffey, Jr.",630.0,3.0,baseball
377,career home runs by Jim Thome,612.0,3.0,baseball
378,career home runs by Sammy Sosa,609.0,3.0,baseball
379,career home runs by Frank Robinson,586.0,3.0,baseball
380,career home runs by Mark McGwire,583.0,3.0,baseball
381,career grand slam titles won by Pete Sampras,14.0,2.0,tennis
382,career grand slam titles won by Rod Laver,11.0,2.0,tennis
383,career grand slam titles won by Bjorn Borg,11.0,2.0,tennis
384,career grand slam titles won by Andre Agassi,8.0,2.0,tennis
385,world record in the mile by Hicham El Guerrouj in seconds,223.0,3.0,track and field
386,world record in high jump by Javier Sotomayor in centimeters,245.0,3.0,track and field
387,world record in long jump by Mike Powell rounded to nearest meter,9.0,2.0,track and field
388,world record in decathlon by Ashton Eaton in points,9045.0,4.0,track and field
389,world record in heptathlon by Jackie Joyner-Kersee in points,7291.0,4.0,track and field
390,world record in decathlon by Austra Skujyte in points,8358.0,4.0,track and field
391,world record in shot put by Randy Barnes rounded to nearest meter,23.0,3.0,track and field
392,world record in hammer throw by Yuriy Sedykh rounded to nearest meter,87.0,4.0,track and field
393,world record in javelin throw by Jan Zelezny rounded to nearest meter,98.0,4.0,track and field
394,world record in 20 km walk by Yusuke Suzuki rounded to nearest minute,76.0,3.0,track and field
395,world record in 4x100 m relay by Jamaica rounded to nearest second,37.0,2.0,track and field
396,world record in 4x200 m relay by Jamaica rounded to nearest second,79.0,2.0,track and field
397,world record in 4x400 m relay by USA rounded to nearest second,174.0,3.0,track and field
398,world record in 4x800 m relay by Kenya rounded to nearest second,422.0,3.0,track and field
399,world record in 4x1500 m relay by Kenya rounded to nearest minute,14.0,3.0,track and field
400,world record in road relay by Kenya rounded to nearest minute,117.0,5.0,track and field
401,world record in 400 m by Marita Koch rounded to nearest second,48.0,2.0,track and field
402,world record in mile by Svetlana Masterkova rounded to nearest second,253.0,4.0,track and field
403,world record in 5000 m by Tirushnesh Dibaba rounded to nearest minute,14.0,3.0,track and field
404,world record in marathon by Paula Radcliffe rounded to nearest minute,135.0,3.0,track and field
405,world record in 4x100 m relay by USA rounded to nearest second,41.0,2.0,track and field
406,world record in 4x200 m relay by USA rounded to nearest second,87.0,3.0,track and field
407,world record in 4x400 m relay by Russia rounded to nearest second,195.0,4.0,track and field
408,world record in 4x800 m relay by Russia rounded to nearest second,470.0,4.0,track and field
409,world record in 4x1500 m relay by Kenya rounded to nearest minute,17.0,3.0,track and field
410,world record in road relay by China rounded to nearest minute,131.0,5.0,track and field
411,height of Justin Bieber in inches,67.0,2.0,height
412,height of Zayn Malik in inches,69.0,2.0,height
413,height of Kim Jong Un in inches,69.0,2.0,height
414,height of Harry Styles in inches,70.0,2.0,height
415,height of Kanye West in inches,68.0,2.0,height
416,height of Rob Riches in inches,69.0,2.0,height
417,height of Barack Obama in inches,73.0,2.0,height
418,height of Brad Pitt in inches,71.0,2.0,height
419,height of Taylor Swift in inches,70.0,2.0,height
420,height of Adele in inches,68.0,2.0,height
421,height of Ben Affleck in inches,74.0,2.0,height
422,height of Christina Aguilera in inches,62.0,2.0,height
423,height of Muhammad Ali in inches,75.0,2.0,height
424,height of Woody Allen in inches,65.0,2.0,height
425,height of Jennifer Aniston in inches,65.0,2.0,height
426,height of David Beckham in inches,71.0,2.0,height
427,height of Jeff Bezos in inches,68.0,2.0,height
428,height of Usain Bolt in inches,77.0,2.0,height
429,height of Bono in inches,66.0,2.0,height
430,height of Hillary Rodham Clinton in inches,66.0,2.0,height
431,height of George Clooney in inches,71.0,2.0,height
432,height of Stephen Curry in inches,74.0,2.0,height
433,height of Miley Cyrus in inches,65.0,2.0,height
434,hours plus minutes on 12-Hour digital clock at half past one,31.0,1.0,clock
435,hours plus minutes on 12-Hour digital clock at quarter past one,16.0,1.0,clock
436,hours plus minutes on 12-Hour digital clock at quarter till one,57.0,1.0,clock
437,hours plus minutes on 12-Hour digital clock at half past two,32.0,1.0,clock
438,hours plus minutes on 12-Hour digital clock at quarter till two,46.0,1.0,clock
439,hours plus minutes on 12-Hour digital clock at five past one,6.0,1.0,clock
440,hours plus minutes on 12-Hour digital clock at five till two,56.0,1.0,clock
441,hours plus minutes on 12-Hour digital clock at ten till one,62.0,1.0,clock
442,hours plus minutes on 12-Hour digital clock at half past four,34.0,1.0,clock
443,hours plus minutes on 12-Hour digital clock at quarter past four,19.0,1.0,clock
444,hours plus minutes on 12-Hour digital clock at quarter till four,48.0,1.0,clock
445,hours plus minutes on 12-Hour digital clock at five past three,8.0,1.0,clock
446,hours minus minutes on 12-Hour digital clock at five past five,0.0,1.0,clock
447,hours minus minutes on 12-Hour digital clock at five past six,1.0,1.0,clock
448,hours minus minutes on 12-Hour digital clock at ten past eleven,1.0,1.0,clock
449,minutes minus hours on 12-Hour digital clock at ten till eleven,40.0,1.0,clock
450,minutes minus hours on 12-Hour digital clock at half past two,28.0,1.0,clock
451,minutes minus hours on 12-Hour digital clock at quarter past two,13.0,1.0,clock
452,minutes minus hours on 12-Hour digital clock at quarter till two,44.0,1.0,clock
453,smaller angle between hour and minute hands at 1:00 in degrees,30.0,3.0,clock
454,smaller angle between hour and minute hands at 1:22 in degrees,102.0,3.0,clock
