quantity_id,Quantity,Value,Difficulty,Category
863,the remainder when one hundred is divided by two,0.0,1.0,remainder
864,the remainder when fifty-one is divided by two,1.0,1.0,remainder
865,the remainder when one billion is divided by two,0.0,1.0,remainder
866,the remainder when one million is divided by two,0.0,1.0,remainder
867,the remainder when ninety-nine is divided by two,1.0,1.0,remainder
868,the remainder when eighty-eight is divided by two,0.0,1.0,remainder
869,the remainder when three is divided by three,0.0,1.0,remainder
870,the remainder when four is divided by three,1.0,1.0,remainder
871,the remainder when five is divided by three,2.0,1.0,remainder
872,the remainder when six is divided by three,0.0,1.0,remainder
873,the remainder when seven is divided by three,1.0,1.0,remainder
874,the remainder when eight is divided by three,2.0,1.0,remainder
875,the remainder when nine is divided by three,0.0,1.0,remainder
876,the remainder when ten is divided by three,1.0,1.0,remainder
877,the remainder when eleven is divided by three,2.0,1.0,remainder
878,the remainder when twelve is divided by three,0.0,1.0,remainder
879,the remainder when fifteen is divided by three,0.0,1.0,remainder
880,the remainder when twenty is divided by three,2.0,1.0,remainder
881,the remainder when thirty is divided by three,0.0,1.0,remainder
882,the remainder when forty is divided by three,1.0,1.0,remainder
883,the remainder when fifty is divided by three,2.0,1.0,remainder
884,the remainder when one hundred is divided by three,1.0,1.0,remainder
885,the remainder when fifty-one is divided by three,0.0,1.0,remainder
886,the remainder when one billion is divided by three,1.0,1.0,remainder
887,the remainder when ninety-nine is divided by three,0.0,1.0,remainder
888,"Rank of Apple Inc. among world companies by market cap, at end 2016",1.0,4.0,market cap
889,"Rank of Alphabet Inc. among world companies by market cap, at end 2016",2.0,4.0,market cap
890,"Rank of Microsoft among world companies by market cap, at end 2016",3.0,4.0,market cap
891,"Rank of Amazon.com among world companies by market cap, at end 2016",4.0,4.0,market cap
892,"Rank of Berkshire Hathaway among world companies by market cap, at end 2016",5.0,4.0,market cap
893,"Rank of ExxonMobil among world companies by market cap, at end 2016",6.0,4.0,market cap
894,"Rank of Johnson & Johnson among world companies by market cap, at end 2016",7.0,4.0,market cap
895,"Rank of Facebook among world companies by market cap, at end 2016",8.0,4.0,market cap
896,"Rank of JPMorgan Chase among world companies by market cap, at end 2016",9.0,4.0,market cap
897,"Rank of WellsFargo among world companies by market cap, at end 2016",10.0,4.0,market cap
898,Year of independence of Australia,1901.0,4.0,history
899,Sales of Don Quixote by Miguel de Cervantes,500000000.0,4.0,literature
900,Sales of A Tale of Two Cities by Charles Dickens,200000000.0,4.0,literature
901,Sales of The Lord of the Rings by J. R. R. Tolkien,150000000.0,4.0,literature
902,Sales of Le Petit Prince by Antoine de Saint-Exupery,140000000.0,4.0,literature
903,Sales of Harry Potter and the Philosopher‰Ûªs Stone by J. K. Rowling,120000000.0,4.0,literature
904,Sales of The Hobbit by J. R. R. Tolkien,100000000.0,4.0,literature
905,Sales of And Then There Were None by Agatha Christie,100000000.0,4.0,literature
906,Year of publication of Don Quixote by Miguel de Cervantes,1605.0,4.0,history
907,Year of publication of A Tale of Two Cities by Charles Dickens,1859.0,4.0,history
908,Year of publication of Le Petit Prince by Antoine de Saint-Exupery,1943.0,4.0,history
909,Year of publication of Harry Potter and the Philosopher‰Ûªs Stone by J. K. Rowling,1997.0,4.0,history
910,Year of publication of The Hobbit by J. R. R. Tolkien,1937.0,4.0,history
911,Year of publication of And Then There Were None by Agatha Christie,1939.0,4.0,history
912,"Sales of The Lion, the Witch and the Wardrobe by C. S. Lewis",85000000.0,4.0,literature
913,Percentage of population using the internet in China as of 2016,53.2,4.0,internet
914,Percentage of population using the internet in India as of 2016,29.55,4.0,internet
915,Percentage of population using the internet in the United States as of 2016,76.18,4.0,internet
916,Percentage of population using the internet in Brazil as of 2016,59.68,4.0,internet
917,Percentage of population using the internet in Japan as of 2016,92.0,4.0,internet
918,Percentage of population using the internet in Russia as of 2016,76.41,4.0,internet
919,Percentage of population using the internet in Mexico as of 2016,59.54,4.0,internet
920,Percentage of population using the internet in Germany as of 2016,89.65,4.0,internet
921,Percentage of population using the internet in Indonesia as of 2016,25.37,4.0,internet
922,Percentage of population using the internet in United Kingdom as of 2016,94.78,4.0,internet
923,Percentage of population using the internet in Philippines as of 2016,55.5,4.0,internet
924,Percentage of population using the internet in France as of 2016,85.62,4.0,internet
925,Percentage of population using the internet in Nigeria as of 2016,25.67,4.0,internet
926,Percentage of population using the internet in South Korea as of 2016,92.72,4.0,internet
927,Revenues of Walmart for 2016 in USD,485873000000.0,4.0,revenue
928,Revenues of Toyota for 2016 in USD,254694000000.0,4.0,revenue
929,Revenues of Volkswagen Group for 2016 in USD,240264000000.0,4.0,revenue
930,Revenues of Berkshire Hathaway for 2016 in USD,223604000000.0,4.0,revenue
931,Revenues of Apple for 2016 in USD,215639000000.0,4.0,revenue
932,Revenues of Exxon Mobil for 2016 in USD,205004000000.0,4.0,revenue
933,Revenues of Verizon for 2016 in USD,125980000000.0,4.0,revenue
934,Revenues of Allianz for 2016 in USD,122196000000.0,4.0,revenue
935,Employees of Walmart at end 2015,2300000.0,3.0,employees
936,Employees of Toyota at end 2015,364445.0,3.0,employees
937,Employees of Volkswagen Group at end 2015,626715.0,3.0,employees
938,Employees of Berkshire Hathaway at end 2015,367700.0,3.0,employees
939,Employees of Apple at end 2015,116000.0,3.0,employees
940,Employees of Exxon Mobil at end 2015,72700.0,3.0,employees
941,Employees of McKesson at end 2015,64500.0,3.0,employees
942,Employees of BP at end 2015,74500.0,3.0,employees
943,Employees of Samsung Electronics at end 2015,325000.0,3.0,employees
944,Employees of General Motors at end 2015,225000.0,3.0,employees
945,Employees of AT&T at end 2015,268540.0,3.0,employees
946,Employees of Ford Motor Company at end 2015,201000.0,3.0,employees
947,Employees of Amazon at end 2015,341400.0,3.0,employees
948,Employees of Honda at end 2015,211915.0,3.0,employees
949,Employees of General Electric at end 2015,295000.0,3.0,employees
950,Employees of Verizon at end 2015,160900.0,3.0,employees
951,Diameter of the moon in miles,2160.0,5.0,astronomy
952,Length of the Great Wall of China in miles,5500.0,4.0,geographical distance
953,Length of the Trans-Siberian Railway in miles,6152.0,4.0,geographical distance
954,Diameter of the sun in miles,864000.0,5.0,astronomy
955,Diameter of Jupiter in miles,87000.0,5.0,astronomy
956,Moon‰Ûªs orbital distance from Earth in miles,239000.0,4.0,astronomy
957,One light-minute in miles,11180000.0,5.0,astronomy
958,Depth of the Mariana Trench in feet,36070.0,5.0,ocean
959,Circumference of the Large Hadron Collider in miles,16.6,5.0,architecture
960,Length of the Suez Canal in miles,120.0,4.0,geographical distance
961,Length of the Nile river in miles,4200.0,4.0,geographical distance
962,Equatorial diameter of Earth in miles,7918.0,5.0,geographical distance
963,Greatest mileage ever recorded by a car in miles,3000000.0,4.0,automotive engineering
964,Weight of the Hubble Space Telescope in pounds,24500.0,5.0,space engineering
965,Mass of the largest dinosaur in pounds,213000.0,5.0,zoology
966,Mass of the International Space Station in pounds,925000.0,5.0,space engineering
967,Mass of the Titanic in metric tons,52310.0,5.0,marine engineering
968,Mass of the Great Pyramid of Giza in metric tons,5800000.0,5.0,architecture
969,Number of 5-card poker hands,5548000.0,5.0,math
970,Number of active users on Facebook as of October 2015,1500000000.0,5.0,internet
971,Number of base pairs in the human genome,3000000000.0,5.0,genetics
972,Price of the domain name Insurance.com in USD,35600000.0,5.0,domain name
973,Price of the domain name Internet.com in USD,18000000.0,5.0,domain name
974,Price of the domain name Business.com in USD,7500000.0,5.0,domain name
975,Price of the domain name Loans.com in USD,3000000.0,5.0,domain name
976,Price of the original examplar of the Magna Carta in USD,21300000.0,5.0,price
977,Reported price for baby photos of Knox Leon & Vivienne Marcheline Jolie-Pitt in US dollars,15000000.0,5.0,price
978,"Bounty on Abu Bakr al-Baghdadi, head of ISIS, as at 2017 in USD",25000000.0,5.0,bounty
979,"Bounty on Ayman al-Zawahiri, head of Al Qaeda, as at 2017 in USD",25000000.0,5.0,bounty
980,Attendance of the largest concert ever performed by the Rolling Stones,1500000.0,4.0,public gathering
981,"Homicides in Rio de Janeiro, Brazil, in 2009",3703.0,3.0,homicides
982,"Homicides in Sao Paulo, Brazil, in 2009",3535.0,3.0,homicides
983,"Homicides in Cape Town, South Africa, in 2007",2222.0,3.0,homicides
984,"Homicides in Durban, South Africa, in 2007",1981.0,3.0,homicides
985,"Homicides in Karachi, Pakistan in 2007",841.0,3.0,homicides
986,"Inflation rate in Chad in 2016, to nearest percent",-4.0,3.0,inflation
987,"Inflation rate in United Kingdom in 2016, to nearest percent",1.0,3.0,inflation
988,"Inflation rate in United States in 2016, to nearest percent",1.0,3.0,inflation
989,"Inflation rate in Saudia Arabia in 2016, to nearest percent",4.0,3.0,inflation
990,"Inflation rate in Egypt in 2016, to nearest percent",14.0,3.0,inflation
991,"Inflation rate in Venezuela in 2016, to nearest percent",254.0,5.0,inflation
992,Consumption of fossil fuels in Kuwait as % of installed capacity in 2015,100.0,4.0,energy breakdown
993,Consumption of fossil fuels in Libya as % of installed capacity in 2015,100.0,4.0,energy breakdown
994,Consumption of fossil fuels in Chile as % of installed capacity in 2015,61.0,4.0,energy breakdown
995,Consumption of fossil fuels in the United Kingdom as % of installed capacity in 2015,56.0,4.0,energy breakdown
996,Consumption of fossil fuels in North Korea as % of installed capacity in 2015,45.0,4.0,energy breakdown
997,Consumption of fossil fuels in France as % of installed capacity in 2015,16.0,4.0,energy breakdown
998,Consumption of fossil fuels in Norway as % of installed capacity in 2015,4.0,4.0,energy breakdown
999,Consumption of fossil fuels in Canada as % of installed capacity in 2015,26.0,4.0,energy breakdown
1000,Consumption of fossil fuels in the United States as % of installed capacity in 2015,71.0,4.0,energy breakdown
1001,Consumption of fossil fuels in China as % of installed capacity in 2015,64.0,4.0,energy breakdown
1002,"Crude oil exported from Saudi Arabia, in thousand barrels per day",7273.0,5.0,crude oil exports
1003,Crude oil exported from Russia in thousand barrels per day,5116.0,5.0,crude oil exports
1004,Crude oil exported from Canada in thousand barrels per day,2671.0,5.0,crude oil exports
1005,Crude oil exported from Nepal in thousand barrels per day,2016.0,5.0,crude oil exports
1006,Crude oil exported from United Kingdom in thousand barrels per day,636.0,5.0,crude oil exports
1007,Crude oil exported from United States in thousand barrels per day,590.0,5.0,crude oil exports
1008,Crude oil exported from Norway in thousand barrels per day,1395.0,5.0,crude oil exports
1009,Crude oil exported from Germany in thousand barrels per day,2.0,5.0,crude oil exports
1010,Crude oil exported from Egypt in thousand barrels per day,198.0,5.0,crude oil exports
1011,Crude oil exported from Italy in thousand barrels per day,12.0,5.0,crude oil exports
1012,Consumption of hydroelectric power in Switzerland as % of installed capacity in 2015,61.0,3.0,energy breakdown
1013,Consumption of hydroelectric power in Norway as % of installed capacity in 2015,88.0,3.0,energy breakdown
1014,Consumption of hydroelectric power in United Kingdom as % of installed capacity in 2015,2.0,3.0,energy breakdown
1015,Consumption of hydroelectric power in United States as % of installed capacity in 2015,7.0,3.0,energy breakdown
1016,Consumption of hydroelectric power in France as % of installed capacity in 2015,14.0,3.0,energy breakdown
1017,Value of Publicly Traded Shares in the United States in Billion USD,25070.0,4.0,stock market total
1018,Value of Publicly Traded Shares in China in Billion USD,7321.0,4.0,stock market total
1019,Value of Publicly Traded Shares in Japan in Billion USD,4895.0,4.0,stock market total
1020,Value of Publicly Traded Shares in the United Kingdom in Billion USD,3019.0,4.0,stock market total
1021,Value of Publicly Traded Shares in Russia in Billion USD,636.0,4.0,stock market total
1022,Area of Russia in square miles,6602000.0,4.0,country area
1023,Area of Canada in square miles,3855000.0,3.0,country area
1024,Area of the United States in square miles,3797000.0,3.0,country area
1025,Area of Australia in square miles,2989000.0,3.0,country area
1026,Area of Libya in square miles,679000.0,3.0,country area
1027,Area of France in square miles,249000.0,3.0,country area
1028,Area of the United Kingdom in square miles,94000.0,3.0,country area
1029,Area of Denmark in square miles,17000.0,4.0,country area
1030,Area of Hong Kong in square miles,430.0,4.0,city area
1031,Area of Macau in square miles,10.0,4.0,city area
1032,Area of Singapore in square miles,270.0,4.0,city area
1033,Life expectancy at birth in Monaco,89.0,3.0,life expectancy
1034,Life expectancy at birth in Japan,85.0,3.0,life expectancy
1035,Life expectancy at birth in Italy,82.0,3.0,life expectancy
1036,Life expectancy at birth in France,82.0,3.0,life expectancy
1037,Life expectancy at birth in the United Kingdom,81.0,3.0,life expectancy
1038,Life expectancy at birth in Saudi Arabia,76.0,3.0,life expectancy
1039,Life expectancy at birth in Afghanistan,52.0,3.0,life expectancy
1040,Life expectancy at birth in Yemen,66.0,3.0,life expectancy
1041,People living with HIV/AIDS in South Africa,7100000.0,4.0,HIV
1042,People living with HIV/AIDS in India,2100000.0,3.0,HIV
1043,People living with HIV/AIDS in Brazil,830000.0,3.0,HIV
1044,People living with HIV/AIDS in France,180000.0,3.0,HIV
1045,People living with HIV/AIDS in Egypt,11000.0,3.0,HIV
1046,People living with HIV/AIDS in Ireland,6200.0,3.0,HIV
1047,People living with HIV/AIDS in the Netherlands,23000.0,3.0,HIV
1048,Real GDP growth rate in Venezuela in 2016,-18.0,4.0,growth
1049,Real GDP growth rate in Argentina in 2016,-2.3,4.0,growth
1050,Real GDP growth rate in Russia in 2016,-1.0,3.0,growth
1051,Real GDP growth rate in the United States in 2016,2.0,3.0,growth
1052,Real GDP growth rate in Ireland in 2016,5.0,3.0,growth
1053,Real GDP growth rate in China in 2016,7.0,3.0,growth
1054,Proved reserves of crude oil in Venezuela in barrels,300900000000.0,4.0,crude oil reserves
1055,Proved reserves of crude oil In Saudi Arabia in barrels,266500000000.0,4.0,crude oil reserves
1056,Proved reserves of crude oil in Canada in barrels,168700000000.0,4.0,crude oil reserves
1057,Proved reserves of crude oil in Russia in barrels,80000000000.0,4.0,crude oil reserves
1058,Proved reserves of crude oil in the United Kingdom in barrels,2564000000.0,4.0,crude oil reserves
1059,Proved reserves of crude oil in the United States in barrels,36520000000.0,4.0,crude oil reserves
1060,Proved reserves of crude oil in Australia in barrels,1821000000.0,4.0,crude oil reserves
1061,Proved reserves of crude oil in France in barrels,72350000.0,4.0,crude oil reserves
1062,Proved reserves of crude oil in Israel in barrels,12730000.0,4.0,crude oil reserves
1063,Value of national exports from China in USD,1990000000000.0,4.0,value of national exports
1064,Value of national exports from the United States in USD,1456000000000.0,4.0,value of national exports
1065,Value of national exports from France in USD,507000000000.0,4.0,value of national exports
1066,Value of national exports from Germany in USD,1322000000000.0,4.0,value of national exports
1067,Value of national exports from the United Kingdom in USD,407300000000.0,4.0,value of national exports
1068,Value of national exports from Russia in USD,281900000000.0,4.0,value of national exports
1069,Value of national exports from Egypt in USD,20020000000.0,4.0,value of national exports
1070,Tax collected as a percentage of GDP in Cuba,62.0,4.0,tax as percentage of GDP
1071,Tax collected as a percentage of GDP in Denmark,53.0,4.0,tax as percentage of GDP
1072,Tax collected as a percentage of GDP in the United Kingdom,39.0,4.0,tax as percentage of GDP
1073,Tax collected as a percentage of GDP in Australia,34.0,4.0,tax as percentage of GDP
1074,Tax collected as a percentage of GDP in the United States,18.0,4.0,tax as percentage of GDP
1075,Tax collected as a percentage of GDP in Israel,26.0,4.0,tax as percentage of GDP
1076,Tax collected as a percentage of GDP in Chad,10.0,4.0,tax as percentage of GDP
1077,Forested area in Russia in square miles,3146000.0,4.0,forested area
1078,Forested area in Canada in square miles,1898000.0,4.0,square miles
1079,Forested area in United States in square miles,1197000.0,4.0,forested area
1080,Forested area in Greece in square miles,14000.0,4.0,forested area
1081,Forested area in Iraq in square miles,3200.0,4.0,forested area
1082,Forested area in Switzerland in square miles,4800.0,4.0,forested area
1083,Forested area in Cuba in square miles,10000.0,4.0,forested area
1084,Nuclear weapons in USA in 2017,6800.0,3.0,nukes
1085,Nuclear weapons in Russia in 2017,7000.0,3.0,nukes
1086,Nuclear weapons in United Kingdom in 2017,215.0,3.0,nukes
1087,Nuclear weapons in France in 2017,300.0,3.0,nukes
1088,Nuclear weapons in China in 2017,270.0,3.0,nukes
1089,Nuclear weapons in India in 2017,115.0,3.0,nukes
1090,Nuclear weapons in Pakistan in 2017,125.0,3.0,nukes
1091,Number of billionaires in USA in 2017,565.0,3.0,billionaires
1092,Number of billionaires in China in 2017,319.0,3.0,billionaires
1093,Number of billionaires in Switzerland in 2017,36.0,3.0,billionaires
1094,Number of billionaires in Norway in 2017,14.0,3.0,billionaires
1095,Production of aluminum in China in metric tons in 2016,31000000.0,3.0,aluminum
1096,Production of aluminum in USA in metric tons in 2016,840000.0,3.0,aluminum
1097,Production of aluminum in Australia in metric tons in 2016,1680000.0,3.0,aluminum
1098,Production of aluminum in India in metric tons in 2016,2750000.0,3.0,aluminum
1099,Production of aluminum in Brazil in metric tons in 2016,790000.0,3.0,aluminum
1100,Gold holdings of USA in metric tons in 2017,8133000.0,3.0,gold
1101,Gold holdings of France in metric tons in 2017,2436000.0,3.0,gold
1102,Gold holdings of India in metric tons in 2017,558000.0,3.0,gold
1103,Gold holdings of United Kingdom in metric tons in 2017,310000.0,3.0,gold
1104,Gold holdings of Spain in metric tons in 2017,282000.0,3.0,gold
1105,Number of weeks in Billboard top ten for Shape of You by Ed Sheeran,33.0,2.0,top ten
1106,Number of weeks in Billboard top ten for Uptown Funk by Mark Ronson,31.0,,top ten
1107,Number of weeks in Billboard top ten for Smooth by Santana and Rob Thomas,30.0,,top ten
1108,Number of weeks in Billboard top ten for Truly Madly Deeply by Savage Garden,26.0,,top ten
1109,Number of weeks in Billboard top ten for Despacito by Luis Fonsi and Daddy Yankee,25.0,,top ten
1110,Number of weeks in Billboard top hundred for I‰Ûªm Yours by Jason Mraz,76.0,,top hundred
1111,Number of weeks in Billboard top hundred for How Do I Live by LeAnn Rimes,69.0,,top hundred
1112,Number of weeks in Billboard top hundred for Foolish Games by Jewel,65.0,,top hundred
1113,Number of weeks in Billboard top hundred for Before He Cheats by Carrie Underwood,64.0,,top hundred
1114,Number of weeks in Billboard top hundred for You and Me by Lifehouse,62.0,,top hundred
1115,Total weeks at number one on Billboard chart for Elvis Presley,79.0,,number one
1116,Total weeks at number one on Billboard chart for Mariah Carey,79.0,,number one
1117,Total weeks at number one on Billboard chart for Rihanna,60.0,,number one
1118,Total weeks at number one on Billboard chart for Beyonce,41.0,,number one
1119,Total weeks at number one on Billboard chart for Elton John,34.0,,number one
1120,Total weeks at number one on Billboard chart for Katy Perry,33.0,,number one
1121,Total sales of the Playstation 2,155000000.0,,game console sales
1122,Total sales of the Nintendo DS,154000000.0,,game console sales
1123,Total sales of the original Xbox,24000000.0,,game console sales
1124,Total sales of the Atari 2600,30000000.0,,game console sales
1125,Total sales of the original Playstation,102490000.0,,game console sales
1126,Number of letters in the King James Bible,3566480.0,,books
1127,Number of words in Infinite Jest by David Foster Wallace,543709.0,,books
1128,Number of words in the Harry Potter book series,1084170.0,,books
1129,Number of words in Atlas Shrugged by Ayn Rand,645000.0,,books
1130,Number of words in The Hobbit by J.R.R Tolkien,95033.0,,books
1131,Length of Sydney Harbor Bridge in feet,1650.0,,bridges
1132,Length of Golden Gate Bridge in feet,4200.0,,bridges
1133,Length of Danyang‰ÛÒKunshan Grand Bridge (world‰Ûªs longest bridge) in feet,540700.0,,bridges
1134,Length of Brooklyn Bridge in feet,5988.0,,bridges
1135,Length of Tower Bridge (in London) in feet,801.0,,bridges
1136,Number of episodes in the TV series Friends,236.0,,television
1137,Number of episodes in the TV series Law & Order,456.0,,television
1138,Number of episodes in the TV series Seinfeld,180.0,,television
1139,Number of episodes in the TV series The X-files,210.0,,television
1140,Number of episodes in the TV series Futurama,140.0,,television
1141,Number of seats in the EU parliament in 2017,751.0,2.0,legislatures
1142,Number of representatives in the US House of Representatives in 2017,435.0,2.0,legislatures
1143,Number of representatives in the Canadian parliament in 2017,443.0,2.0,legislatures
1144,Number of representatives in the German Federal Council in 2017,69.0,2.0,legislatures
1145,Number of representatives in the Ukraine parliament in 2017,450.0,2.0,legislatures
1146,Age of the Earth in years,4540000000.0,5.0,astronomical times
1147,Age of the Sun in years,4600000000.0,5.0,astronomical times
1148,Years since the big bang,13800000000.0,5.0,astronomical times
1149,Years since the Milky Way Galaxy formed,13600000000.0,5.0,astronomical times
1150,Volume of a shipping container in cubic feet,1360.0,4.0,misc volumes
1151,Volume of an Olympic swimming pool in cubic feet,88000.0,4.0,misc volumes
1152,Volume of the Royal Albert Hall auditorium in cubic feet,3300000.0,4.0,misc volumes
1153,Volume of gas in the Hindenberg Zeppelin in cubic feet,7500000.0,4.0,misc volumes
1154,Volume of the Grand Canyon in cubic miles,1000.0,4.0,misc volumes
1155,Length of the Oval Office in feet,35.8,2.0,architecture
1156,Total employer establishments in USA,7664000.0,3.0,us demographics
1157,Total employed people in USA,124000000.0,3.0,us demographics
1158,Population per square mile in USA in 2010,87.0,3.0,us demographics
1159,Total number of housing units in USA as of 2016,135700000.0,3.0,us demographics
1160,Median rent in USA in 2016 in USD,949.0,3.0,us demographics
1161,Total accommodation and food sales in USA in 2012 in USD,708000000000.0,4.0,us economy
1162,Total health care and social assistance sales in USA in 2012 in USD,2040440000000.0,4.0,us economy
1163,Total retail sales in USA in 2012 in USD,4219820000000.0,4.0,us economy
1164,Total payroll in USA in 2015 in USD,6250000000000.0,4.0,us economy
1165,Number of chief executives in USA in 2016,106600000.0,3.0,us occupations
1166,Number of computer and information research scientists in USA in 2016,16400.0,3.0,us occupations
1167,Number of aerospace engineers in USA in 2016,115000.0,3.0,us occupations
1168,Number of economists in USA in 2016,21700.0,3.0,us occupations
1169,Number of clergy in USA in 2016,348000.0,3.0,us occupations
1170,Number of lawyers in USA in 2016,891000.0,3.0,us occupations
1171,Number of veterinarians in USA in 2016,65800.0,3.0,us occupations
1172,Number of registered nurses in USA in 2016,2317000.0,3.0,us occupations
1173,Number of religious organizations in USA in 2015,183862.0,4.0,us companies
1174,Number of breweries in USA in 2015,2296.0,4.0,us companies
1175,Number of finance and insurance companies in USA in 2015,237408.0,4.0,us companies
1176,Number of pharmaceutical manufacturing companies in USA in 2015,1775.0,4.0,us companies
1177,Number of restaurants and eating places in USA in 2015,406045.0,4.0,us companies
1178,Number of beauty salons in USA in 2015,64409.0,4.0,us companies
1179,Number of Vietnam Era veterans living in USA in 2016,6672416.0,3.0,us veterans
1180,Number of Korean War veterans living in USA in 2016,1641569.0,3.0,us veterans
1181,Number of World War II veterans living in USA in 2016,768263.0,3.0,us veterans
1182,Number of US veterans with a disability connected to their service in 2016,4000000.0,3.0,us veterans
1183,Number of US veterans who voted in 2016 presidential election,14400000.0,3.0,us veterans
1184,Volume of a sphere with radius 3 units to nearest cubic unit,113.0,3.0,geometrical volume
1185,Volume of a sphere with radius 1 units to nearest cubic unit,4.0,3.0,geometrical volume
1186,Volume of a sphere with radius 2 units to nearest cubic unit,34.0,4.0,geometrical volume
1187,Volume of a sphere with radius 5 units to nearest cubic unit,524.0,4.0,geometrical volume
1188,Volume of a sphere with radius 10 units to nearest cubic unit,4189.0,5.0,geometrical volume
1189,Voume of a cylinder with radius 10 units and height 5 units to nearest cubic unit,1571.0,4.0,geometrical volume
1190,Voume of a cylinder with radius 1 units and height 2 units to nearest cubic unit,6.0,4.0,geometrical volume
1191,Voume of a cylinder with radius 2 units and height 2 units to nearest cubic unit,25.0,3.0,geometrical volume
1192,Voume of a cylinder with radius 5 units and height 2 units to nearest cubic unit,157.0,4.0,geometrical volume
1193,Voume of a cylinder with radius 10 units and height 2 units to nearest cubic unit,628.0,4.0,geometrical volume
1194,Voume of a cylinder with radius 4 units and height 1 units to nearest cubic unit,50.0,4.0,geometrical volume
1195,Voume of a cylinder with radius 5 units and height 5 units to nearest cubic unit,393.0,4.0,geometrical volume
1196,Voume of a cylinder with radius 2 units and height 1 units to nearest cubic unit,13.0,4.0,geometrical volume
1197,Voume of a cylinder with radius 1 units and height 5 units to nearest cubic unit,16.0,4.0,geometrical volume
1198,Voume of a cylinder with radius 10 units and height 10 units to nearest cubic unit,3142.0,4.0,geometrical volume
1199,Surface area of a cylinder with radius 1 units and height 5 units to nearest cubic unit,38.0,3.0,geometrical area
1200,Surface area of a cylinder with radius 2 units and height 10 units to nearest cubic unit,151.0,2.0,geometrical area
1201,Surface area of a cylinder with radius 1 units and height 2 units to nearest cubic unit,19.0,3.0,geometrical area
1202,Surface area of a cylinder with radius 5 units and height 1 units to nearest cubic unit,188.0,3.0,geometrical area
1203,Surface area of a cylinder with radius 2 units and height 10 units to nearest cubic unit,151.0,3.0,geometrical area
1204,Surface area of a cylinder with radius 10 units and height 3 units to nearest cubic unit,817.0,3.0,geometrical area
1205,Surface area of a cylinder with radius 5 units and height 20 units to nearest cubic unit,785.0,4.0,geometrical area
1206,Surface area of a cylinder with radius 4 units and height 4 units to nearest cubic unit,201.0,4.0,geometrical area
1207,The cube root of 27,3.0,1.0,math
1208,The cube root of 8,2.0,2.0,math
1209,The cube root of 1000,10.0,2.0,math
1210,The cube root of 64,4.0,2.0,math
1211,The cube root of 125,5.0,3.0,math
1212,The cube root of 216,6.0,3.0,math
1213,The cube root of 343,7.0,3.0,math
1214,The cube root of 512,8.0,4.0,math
1215,The cube root of 729,9.0,4.0,math
1216,The cube root of 1331,11.0,4.0,math
1217,The cube root of 8000,20.0,4.0,math
